image_1,image_2,label
P1-006_01313.png,P1-006_01326.png,0
P1-006_01056.png,P1-244_08216.png,1
P1-006_01089.png,P1-684_24094.png,1
P1-006_01313.png,P1-069_21424.png,1
P1-006_01326.png,P1-517_23740.png,1
P1-006_01056.png,P2-247_23650.png,1
P1-006_01089.png,P1-384_11320.png,1
P1-006_01313.png,P4-043_03700-0.png,1
P1-006_01326.png,P5-140_14720-0.png,1
P1-007_01133.png,P1-007_01144.png,0
P1-007_01133.png,P1-007_01326.png,0
P1-007_01133.png,P1-007_01352.png,0
P1-007_01144.png,P1-007_01326.png,0
P1-007_01144.png,P1-007_01352.png,0
P1-007_01326.png,P1-007_01352.png,0
P1-007_01133.png,P3-107_29540.png,1
P1-007_01144.png,P1-410_26000.png,1
P1-007_01326.png,P4-055_02424-0.png,1
P1-007_01352.png,P3-071_22100.png,1
P1-007_01133.png,P1-444_12480.png,1
P1-007_01144.png,P2-038_03264.png,1
P1-007_01326.png,P1-804_25730.png,1
P1-007_01352.png,P1-174_16973.png,1
P1-008_01419.png,P1-008_01441.png,0
P1-008_01419.png,P1-008_01573.png,0
P1-008_01419.png,P1-008_01599.png,0
P1-008_01441.png,P1-008_01573.png,0
P1-008_01441.png,P1-008_01599.png,0
P1-008_01573.png,P1-008_01599.png,0
P1-008_01419.png,P1-411_26120.png,1
P1-008_01441.png,P5-174_22100-0.png,1
P1-008_01573.png,P1-651_03689.png,1
P1-008_01599.png,P5-238_08250-0.png,1
P1-008_01419.png,P1-339_01900.png,1
P1-008_01441.png,P4-146_06110-0.png,1
P1-008_01573.png,P1-677_21352.png,1
P1-008_01599.png,P1-962_22865.png,1
P1-009_01474.png,P1-009_01518.png,0
P1-009_01474.png,P1-009_01599.png,0
P1-009_01474.png,P1-009_01625.png,0
P1-009_01518.png,P1-009_01599.png,0
P1-009_01518.png,P1-009_01625.png,0
P1-009_01599.png,P1-009_01625.png,0
P1-009_01474.png,P1-060_16107.png,1
P1-009_01518.png,P1-925_05980.png,1
P1-009_01599.png,P5-228_15170-3.png,1
P1-009_01625.png,P1-862_06310.png,1
P1-009_01474.png,P1-238_02320.png,1
P1-009_01518.png,P1-173_16840.png,1
P1-009_01599.png,P1-329_14245.png,1
P1-009_01625.png,P4-076_12448-0.png,1
P1-010_01738.png,P1-010_01771.png,0
P1-010_01738.png,P1-010_01898.png,0
P1-010_01738.png,P1-010_01937.png,0
P1-010_01771.png,P1-010_01898.png,0
P1-010_01771.png,P1-010_01937.png,0
P1-010_01898.png,P1-010_01937.png,0
P1-010_01738.png,P3-104_28768.png,1
P1-010_01771.png,P2-100_25020.png,1
P1-010_01898.png,P3-079_23040.png,1
P1-010_01937.png,P1-872_12660.png,1
P1-010_01738.png,P4-176_22290-0.png,1
P1-010_01771.png,P1-959_19754.png,1
P1-010_01898.png,P5-104_05520-0.png,1
P1-010_01937.png,P5-064_23024-0.png,1
P1-011_01820.png,P1-011_01898.png,0
P1-011_01820.png,P1-011_02002.png,0
P1-011_01820.png,P1-011_02046.png,0
P1-011_01898.png,P1-011_02002.png,0
P1-011_01898.png,P1-011_02046.png,0
P1-011_02002.png,P1-011_02046.png,0
P1-011_01820.png,P2-265_33050.png,1
P1-011_01898.png,P3-097_27260.png,1
P1-011_02002.png,P3-059_18440.png,1
P1-011_02046.png,P1-706_03140.png,1
P1-011_01820.png,P1-791_21050.png,1
P1-011_01898.png,P1-611_01540.png,1
P1-011_02002.png,P3-091_25904.png,1
P1-011_02046.png,P2-223_13600.png,1
P1-012_02132.png,P1-012_02145.png,0
P1-012_02132.png,P1-012_02255.png,0
P1-012_02132.png,P1-012_02266.png,0
P1-012_02145.png,P1-012_02255.png,0
P1-012_02145.png,P1-012_02266.png,0
P1-012_02255.png,P1-012_02266.png,0
P1-012_02132.png,P1-301_18165.png,1
P1-012_02145.png,P4-002_03212-1.png,1
P1-012_02255.png,P5-156_17550-0.png,1
P1-012_02266.png,P4-047_04292-0.png,1
P1-012_02132.png,P1-612_03900.png,1
P1-012_02145.png,P2-249_23900.png,1
P1-012_02255.png,P1-341_02940.png,1
P1-012_02266.png,P1-014_02977.png,1
P1-013_02343.png,P1-013_02354.png,0
P1-013_02343.png,P1-013_02509.png,0
P1-013_02343.png,P1-013_02535.png,0
P1-013_02354.png,P1-013_02509.png,0
P1-013_02354.png,P1-013_02535.png,0
P1-013_02509.png,P1-013_02535.png,0
P1-013_02343.png,P2-235_20700.png,1
P1-013_02354.png,P2-122_32260.png,1
P1-013_02509.png,P4-086_06314-0.png,1
P1-013_02535.png,P4-153_09720-0.png,1
P1-013_02343.png,P1-735_10185.png,1
P1-013_02354.png,P1-748_12645.png,1
P1-013_02509.png,P4-071_14875-0.png,1
P1-013_02535.png,P1-520_24360.png,1
P1-014_02695.png,P1-014_02728.png,0
P1-014_02695.png,P1-014_02977.png,0
P1-014_02695.png,P1-014_02990.png,0
P1-014_02728.png,P1-014_02977.png,0
P1-014_02728.png,P1-014_02990.png,0
P1-014_02977.png,P1-014_02990.png,0
P1-014_02695.png,P1-545_27000.png,1
P1-014_02728.png,P3-063_19280.png,1
P1-014_02977.png,P1-868_09860.png,1
P1-014_02990.png,P1-163_12969.png,1
P1-014_02695.png,P2-254_31260.png,1
P1-014_02728.png,P4-026_13014-0.png,1
P1-014_02977.png,P4-087_05768-0.png,1
P1-014_02990.png,P1-478_15960.png,1
P1-015_03157.png,P1-015_03168.png,0
P1-015_03157.png,P1-015_03328.png,0
P1-015_03157.png,P1-015_03354.png,0
P1-015_03168.png,P1-015_03328.png,0
P1-015_03168.png,P1-015_03354.png,0
P1-015_03328.png,P1-015_03354.png,0
P1-015_03157.png,P2-134_39660.png,1
P1-015_03168.png,P5-211_02410-0.png,1
P1-015_03328.png,P1-949_16932.png,1
P1-015_03354.png,P1-636_22620.png,1
P1-015_03157.png,P2-026_06755.png,1
P1-015_03168.png,P2-176_66902.png,1
P1-015_03328.png,P5-155_15970-0.png,1
P1-015_03354.png,P5-223_14420-0.png,1
P1-016_04238.png,P1-016_04264.png,0
P1-016_04238.png,P1-016_04488.png,0
P1-016_04238.png,P1-016_04499.png,0
P1-016_04264.png,P1-016_04488.png,0
P1-016_04264.png,P1-016_04499.png,0
P1-016_04488.png,P1-016_04499.png,0
P1-016_04238.png,P1-359_08840.png,1
P1-016_04264.png,P4-056_03340-0.png,1
P1-016_04488.png,P1-950_17520.png,1
P1-016_04499.png,P5-232_19160-0.png,1
P1-016_04238.png,P3-009_04940.png,1
P1-016_04264.png,P2-029_07854.png,1
P1-016_04488.png,P1-418_28540.png,1
P1-016_04499.png,P1-144_04092.png,1
P1-017_04290.png,P1-017_04342.png,0
P1-017_04290.png,P1-017_04587.png,0
P1-017_04290.png,P1-017_04598.png,0
P1-017_04342.png,P1-017_04587.png,0
P1-017_04342.png,P1-017_04598.png,0
P1-017_04587.png,P1-017_04598.png,0
P1-017_04290.png,P1-945_14880.png,1
P1-017_04342.png,P5-172_23160-0.png,1
P1-017_04587.png,P2-132_41000.png,1
P1-017_04598.png,P5-188_08450-0.png,1
P1-017_04290.png,P1-403_17700.png,1
P1-017_04342.png,P2-052_11016.png,1
P1-017_04587.png,P5-151_11530-0.png,1
P1-017_04598.png,P1-308_03640.png,1
P1-018_04602.png,P1-018_04615.png,0
P1-018_04602.png,P1-018_04796.png,0
P1-018_04602.png,P1-018_04818.png,0
P1-018_04615.png,P1-018_04796.png,0
P1-018_04615.png,P1-018_04818.png,0
P1-018_04796.png,P1-018_04818.png,0
P1-018_04602.png,P1-319_07968.png,1
P1-018_04615.png,P4-020_10422-0.png,1
P1-018_04796.png,P1-214_24794.png,1
P1-018_04818.png,P5-093_18200-0.png,1
P1-018_04602.png,P2-211_10340.png,1
P1-018_04615.png,P1-099_28550.png,1
P1-018_04796.png,P1-129_13140.png,1
P1-018_04818.png,P2-177_67408.png,1
P1-019_05226.png,P1-019_05278.png,0
P1-019_05226.png,P1-019_05511.png,0
P1-019_05226.png,P1-019_05544.png,0
P1-019_05278.png,P1-019_05511.png,0
P1-019_05278.png,P1-019_05544.png,0
P1-019_05511.png,P1-019_05544.png,0
P1-019_05226.png,P1-333_01400.png,1
P1-019_05278.png,P1-778_16380.png,1
P1-019_05511.png,P1-047_11710.png,1
P1-019_05544.png,P4-116_21270-0.png,1
P1-019_05226.png,P5-232_18940-0.png,1
P1-019_05278.png,P1-092_28418.png,1
P1-019_05511.png,P3-028_11488.png,1
P1-019_05544.png,P5-067_23712-0.png,1
P1-020_05772.png,P1-020_05785.png,0
P1-020_05772.png,P1-020_05797.png,0
P1-020_05772.png,P1-020_05830.png,0
P1-020_05785.png,P1-020_05797.png,0
P1-020_05785.png,P1-020_05830.png,0
P1-020_05797.png,P1-020_05830.png,0
P1-020_05772.png,P2-182_66000.png,1
P1-020_05785.png,P4-131_19720-0.png,1
P1-020_05797.png,P2-051_09000.png,1
P1-020_05830.png,P3-020_08912.png,1
P1-020_05772.png,P1-759_13005.png,1
P1-020_05785.png,P2-221_10900.png,1
P1-020_05797.png,P1-306_01132.png,1
P1-020_05830.png,P5-024_14725-0.png,1
P1-021_06058.png,P1-021_06071.png,0
P1-021_06058.png,P1-021_06347.png,0
P1-021_06058.png,P1-021_06370.png,0
P1-021_06071.png,P1-021_06347.png,0
P1-021_06071.png,P1-021_06370.png,0
P1-021_06347.png,P1-021_06370.png,0
P1-021_06058.png,P4-060_09588-0.png,1
P1-021_06071.png,P1-965_25007.png,1
P1-021_06347.png,P2-002_00276.png,1
P1-021_06370.png,P4-122_21520-1.png,1
P1-021_06058.png,P5-138_10930-0.png,1
P1-021_06071.png,P3-049_16880.png,1
P1-021_06347.png,P1-617_08445.png,1
P1-021_06370.png,P5-209_01610-0.png,1
P1-022_06071.png,P1-022_06084.png,0
P1-022_06071.png,P1-022_06372.png,0
P1-022_06071.png,P1-022_06378.png,0
P1-022_06084.png,P1-022_06372.png,0
P1-022_06084.png,P1-022_06378.png,0
P1-022_06372.png,P1-022_06378.png,0
P1-022_06071.png,P1-044_11408.png,1
P1-022_06084.png,P4-044_03880-0.png,1
P1-022_06372.png,P2-245_25940.png,1
P1-022_06378.png,P5-220_12190-0.png,1
P1-022_06071.png,P1-183_20910.png,1
P1-022_06084.png,P1-059_15873.png,1
P1-022_06372.png,P1-874_12820.png,1
P1-022_06378.png,P1-051_12200.png,1
P1-023_06084.png,P1-023_06110.png,0
P1-023_06084.png,P1-023_06380.png,0
P1-023_06084.png,P1-023_06386.png,0
P1-023_06110.png,P1-023_06380.png,0
P1-023_06110.png,P1-023_06386.png,0
P1-023_06380.png,P1-023_06386.png,0
P1-023_06084.png,P2-223_15001.png,1
P1-023_06110.png,P1-566_00710.png,1
P1-023_06380.png,P1-597_08340.png,1
P1-023_06386.png,P2-172_63880.png,1
P1-023_06084.png,P1-111_20295.png,1
P1-023_06110.png,P1-757_13590.png,1
P1-023_06380.png,P1-192_22260.png,1
P1-023_06386.png,P2-188_02640.png,1
P1-024_06424.png,P1-024_06435.png,0
P1-024_06424.png,P1-024_06617.png,0
P1-024_06424.png,P1-024_06630.png,0
P1-024_06435.png,P1-024_06617.png,0
P1-024_06435.png,P1-024_06630.png,0
P1-024_06617.png,P1-024_06630.png,0
P1-024_06424.png,P5-033_02512-0.png,1
P1-024_06435.png,P2-131_39975.png,1
P1-024_06617.png,P2-193_03760.png,1
P1-024_06630.png,P1-514_23620.png,1
P1-024_06424.png,P1-368_06920.png,1
P1-024_06435.png,P5-036_06384-1.png,1
P1-024_06617.png,P1-420_27600.png,1
P1-024_06630.png,P1-833_20520.png,1
P1-025_06253.png,P1-025_06266.png,0
P1-025_06253.png,P1-025_06446.png,0
P1-025_06253.png,P1-025_06460.png,0
P1-025_06266.png,P1-025_06446.png,0
P1-025_06266.png,P1-025_06460.png,0
P1-025_06446.png,P1-025_06460.png,0
P1-025_06253.png,P5-003_03534-0.png,1
P1-025_06266.png,P1-081_19784.png,1
P1-025_06446.png,P2-273_49680.png,1
P1-025_06460.png,P3-043_15560.png,1
P1-025_06253.png,P3-028_11488.png,1
P1-025_06266.png,P4-033_09564-1.png,1
P1-025_06446.png,P1-401_22420.png,1
P1-025_06460.png,P2-262_37220.png,1
P1-026_06539.png,P1-026_06578.png,0
P1-026_06539.png,P1-026_06650.png,0
P1-026_06539.png,P1-026_06710.png,0
P1-026_06578.png,P1-026_06650.png,0
P1-026_06578.png,P1-026_06710.png,0
P1-026_06650.png,P1-026_06710.png,0
P1-026_06539.png,P1-071_21879.png,1
P1-026_06578.png,P1-723_06870.png,1
P1-026_06650.png,P4-116_20940-0.png,1
P1-026_06710.png,P5-134_08780-0.png,1
P1-026_06539.png,P1-356_05940.png,1
P1-026_06578.png,P1-642_26976.png,1
P1-026_06650.png,P4-141_02720-0.png,1
P1-026_06710.png,P1-522_24560.png,1
P1-027_06714.png,P1-027_06722.png,0
P1-027_06714.png,P1-027_06981.png,0
P1-027_06714.png,P1-027_07020.png,0
P1-027_06722.png,P1-027_06981.png,0
P1-027_06722.png,P1-027_07020.png,0
P1-027_06981.png,P1-027_07020.png,0
P1-027_06714.png,P1-354_04400.png,1
P1-027_06722.png,P3-103_28280.png,1
P1-027_06981.png,P1-752_11940.png,1
P1-027_07020.png,P5-147_18020-0.png,1
P1-027_06714.png,P1-144_04048.png,1
P1-027_06722.png,P1-646_00360.png,1
P1-027_06981.png,P1-541_26760.png,1
P1-027_07020.png,P1-919_02754.png,1
P1-028_06818.png,P1-028_06832.png,0
P1-028_06818.png,P1-028_06877.png,0
P1-028_06818.png,P1-028_06890.png,0
P1-028_06832.png,P1-028_06877.png,0
P1-028_06832.png,P1-028_06890.png,0
P1-028_06877.png,P1-028_06890.png,0
P1-028_06818.png,P2-239_21550.png,1
P1-028_06832.png,P2-115_28500.png,1
P1-028_06877.png,P1-833_20325.png,1
P1-028_06890.png,P1-253_10820.png,1
P1-028_06818.png,P1-691_26860.png,1
P1-028_06832.png,P5-224_14650-0.png,1
P1-028_06877.png,P2-156_52513.png,1
P1-028_06890.png,P1-853_04210.png,1
P1-029_07106.png,P1-029_07128.png,0
P1-029_07106.png,P1-029_07696.png,0
P1-029_07106.png,P1-029_07709.png,0
P1-029_07128.png,P1-029_07696.png,0
P1-029_07128.png,P1-029_07709.png,0
P1-029_07696.png,P1-029_07709.png,0
P1-029_07106.png,P1-305_00080.png,1
P1-029_07128.png,P5-215_21910-0.png,1
P1-029_07696.png,P5-074_18680-0.png,1
P1-029_07709.png,P1-024_06435.png,1
P1-029_07106.png,P1-448_20100.png,1
P1-029_07128.png,P5-014_09633-0.png,1
P1-029_07696.png,P2-096_23480.png,1
P1-029_07709.png,P1-634_22192.png,1
